ID,MARCA,MODELO,VERSION,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Comb.,Segmento,Puertas,Traccion
,AUDI,A3,1.9 TDI 110 HP 5 P ATTRACTION,,,,,,,,,," $ 102,000 "," $ 98,000 "," $ 94,000 "," $ 90,000 "," $ 86,000 ",,,,,,
,AUDI,A3,2.0 FSI 3 PTAS,,,,,," $ 175,000 "," $ 160,000 "," $ 150,000 "," $ 140,000 "," $ 132,000 ",,,,,,,,,,
,AUDI,A3,2.0 FSI 3 PTAS PREMIUM CUERO,,,,,," $ 190,000 "," $ 175,000 "," $ 165,000 "," $ 155,000 "," $ 145,000 ",,,,,,,,,,
,AUDI,A3,2.0 FSI 3 PTAS TIP.,,,,,," $ 180,000 "," $ 165,000 "," $ 155,000 "," $ 145,000 "," $ 137,000 ",,,,,,,,,,
,AUDI,A3,2.0 FSI 3 PTAS TIP. PREMIUM CU,,,,,," $ 195,000 "," $ 180,000 "," $ 170,000 "," $ 160,000 "," $ 150,000 ",,,,,,,,,,
,AUDI,A3,2.0 TDI 3 PTAS,,," $ 210,000 "," $ 200,000 "," $ 190,000 "," $ 180,000 "," $ 165,000 "," $ 155,000 "," $ 145,000 "," $ 137,000 ",,,,,,,,,,
,AUDI,A3,2.0 TDI 3 PTAS DSG,,,,,,,," $ 165,000 "," $ 155,000 "," $ 147,000 ",,,,,,,,,,
,AUDI,A3,2.0 TDI 3 PTAS 3 PTAS PREMIUM CUERO,,," $ 230,000 "," $ 215,000 "," $ 205,000 "," $ 195,000 "," $ 180,000 "," $ 170,000 "," $ 160,000 "," $ 152,000 ",,,,,,,,,,
,AUDI,A3,2.0 TDI 3 PTAS QUATTRO,,,,,," $ 195,000 "," $ 180,000 "," $ 170,000 ",,,,,,,,,,,,
,AUDI,A3,2.0 TDI 3 PTAS S TRONIC," $ 450,000 "," $ 400,000 "," $ 370,000 ",,," $ 190,000 "," $ 175,000 "," $ 165,000 ",,,,,,,,,,,,
,AUDI,A3,2.0 TDI 3 PTAS S TRONIC  L/13," $ 550,000 ",,,,,,,,,,,,,,,,,,,
,AUDI,A3,2.0T FSI 3 PTAS," $ 400,000 "," $ 360,000 "," $ 330,000 "," $ 295,000 "," $ 265,000 "," $ 245,000 "," $ 225,000 ",,,,,,,,,,,,,
,AUDI,A3,2.0T FSI 3 PTAS S TRONIC," $ 410,000 "," $ 370,000 "," $ 340,000 "," $ 305,000 "," $ 275,000 "," $ 255,000 "," $ 235,000 ",,,,,,,,,,,,,
,AUDI,A3,3.2 V6 P. QUATTRO,,,,,," $ 205,000 "," $ 195,000 "," $ 185,000 "," $ 175,000 "," $ 165,000 ",,,,,,,,,,
,AUDI,A3,3.2 V6 P. QUATTRO DSG,,,,,,,," $ 195,000 "," $ 185,000 "," $ 175,000 ",,,,,,,,,,
,AUDI,A3,3.2 V6 P. QUATTRO PREMIUM,,,,,," $ 215,000 "," $ 205,000 "," $ 195,000 "," $ 185,000 "," $ 175,000 ",,,,,,,,,,
